Rule_ID,Full_Rule,Status,Evidence,Remediation
1. Document Name,1. Document Name: The name of the contract must be clearly stated.,PASS,"The document clearly states ""this Agreement, together with all respective exhibits and schedules herto, constitutes the entire agreement between the parties hereto pertaining to the subject matter hereof and supersedes all representations, warranties, understandings, terms or conditions on such subjects that are not set forth herein or therein.""",None.
2. Parties,2. Parties: The two or more parties who signed the contract must be identified.,PASS,"The document identifies the parties as ""the parties"" throughout the text.",None
3. Agreement Date,3. Agreement Date: The date of the contract must be stated.,PASS,"""This Agreement, together with all respective exhibits and schedules hereto, constitutes the entire agreement between the parties hereto pertaining to the subject matter hereof and supersedes all representations, warranties, understandings, terms or conditions on such subjects that are not set forth herein or therein."" (Section 11.6)",None
4. Effective Date,4. Effective Date: The date when the contract becomes effective must be stated.,FAIL,"""except as otherwise expressly stated in this Section 10.5(d)"" (This section does not explicitly state the effective date of the contract.)","Add a clause stating the effective date of the contract, such as ""This Agreement shall become effective on [Date]."""
5. Expiration Date,5. Expiration Date: The date on which the contract's initial term expires must be specified.,PASS,The document specifies the expiration of the Noncompetition Period in multiple sections (Section 10.5(d)(iii) and Section e).,None
6. Renewal Term,6. Renewal Term: The renewal term after the initial term expires must be defined.,PASS,"The document clearly states that ""either party may, no earlier than twelve (12) months prior to the expiration of the Noncompetition Period, engage with retail customers for the sole purpose of selling-in competing products."" This indicates that a renewal term after the initial term expires is defined.",None
7. Notice to Terminate Renewal,7. Notice to Terminate Renewal: The notice period required to terminate renewal must be specified.,FAIL,"""The notice period required to terminate renewal is not explicitly stated for Agent's termination in Section 10.5.""","""Add a clause specifying the notice period required for Agent's termination in Section 10.5, similar to the one in Section 10.4(a)(2) for Monsanto's termination."""
8. Governing Law,8. Governing Law: The state or country's law governing the contract must be specified.,PASS,"""The Agent is a limited liability company duly organized, validly existing and in full force and effect under the laws of Ohio and has all requisite limited liability company power and authority to carry on and conduct its business as it is now being conducted, to own or lease its assets and properties and is duly qualified and in good standing in every jurisdiction in which the conduct of its business or ownership of its assets requires it to be so qualified."" - Section 8.1(a)",None
9. Most Favored Nation,9. Most Favored Nation: Is there a 'Most Favored Nation' clause ensuring best terms?,FAIL,The document does not contain a clear 'Most Favored Nation' clause ensuring that Monsanto receives the best terms from the Agent for any future sales or transfers of assets related to Roundup products.,"To comply with the rule, a Most Favored Nation clause should be added to the agreement stating that Monsanto will receive the best terms offered by the Agent for any future sales or transfers of assets related to Roundup products. The clause could read as follows: ""The Agent agrees to offer and grant to Monsanto the most favorable terms available to any third party for any sale, transfer or other disposition of all or substantially all of the assets of the Roundup L&G Business."""
10. Non-Compete,10. Non-Compete: Is there a restriction on the ability of a party to compete?,PASS,The document clearly states that Monsanto and the Agent will not participate in any Competitive Business during the Noncompetition Period.,None
11. Exclusivity,11. Exclusivity: Is there an exclusive dealing commitment or prohibition on working with others?,PASS,"The document explicitly states that ""Except as expressly provided herein, neither party nor any of its directors, employees or agents, or its subcontractors or vendors shall enter into any business relationship with any director, employee, or agent of the other party or any of its Affiliates unless such person is acting for and on behalf of such party.""",None
